Date,Time,Temperature_C,Dew_Point_C,Humidity_%,Wind,Speed_kmh,Gust_kmh,Pressure_hPa,Precip_Rate_mm,Precip_Accum_mm,UV,Solar_w/m2,PowerTotal
2023/03/06,12:04 AM,8.78,3.67,70.0,East,0.16,2.9,988.49,0.0,0.0,0.0,0.0,0.05412253680141138
2023/03/06,12:09 AM,8.39,3.61,72.0,ENE,0.64,3.86,988.49,0.0,0.0,0.0,0.0,0.028787979256267818
2023/03/06,12:14 AM,8.17,3.78,74.0,ENE,0.48,3.22,988.49,0.0,0.0,0.0,0.0,-0.0001069980170029452
2023/03/06,12:19 AM,7.83,3.72,75.0,ENE,1.29,3.86,988.49,0.0,0.0,0.0,0.0,0.03264543055798059
2023/03/06,12:24 AM,7.83,3.83,76.0,ENE,1.45,4.18,988.49,0.0,0.0,0.0,0.0,0.01305435413651315
2023/03/06,12:29 AM,8.17,3.89,75.0,East,1.29,3.86,988.49,0.0,0.0,0.0,0.0,-0.04305284919470496
2023/03/06,12:34 AM,8.28,3.83,74.0,NE,1.61,4.18,988.49,0.0,0.0,0.0,0.0,0.015988732479654297
2023/03/06,12:39 AM,8.56,4.06,73.0,NE,1.45,3.86,988.49,0.0,0.0,0.0,0.0,0.04263188892479404
2023/03/06,12:44 AM,8.06,3.78,74.0,ENE,0.97,3.7,988.49,0.0,0.0,0.0,0.0,-0.020264586092636632
2023/03/06,12:49 AM,7.89,3.72,75.0,ENE,1.45,3.86,988.49,0.0,0.0,0.0,0.0,0.0518132828642287
2023/03/06,12:54 AM,8.0,3.83,75.0,ENE,1.45,4.02,988.49,0.0,0.0,0.0,0.0,-0.05103208058985148
2023/03/06,12:59 AM,8.39,3.89,73.0,NE,1.29,4.34,988.49,0.0,0.0,0.0,0.0,0.06867068271016348
2023/03/06,01:04 AM,8.22,3.83,74.0,East,1.13,3.38,988.15,0.0,0.0,0.0,0.0,-0.03168738490273337
2023/03/06,01:09 AM,8.39,4.0,74.0,ENE,2.25,4.83,988.15,0.0,0.0,0.0,0.0,-0.015314623922726959
2023/03/06,01:14 AM,8.72,4.0,72.0,ENE,2.74,5.63,988.15,0.0,0.0,0.0,0.0,-0.03200684395894647
2023/03/06,01:19 AM,8.78,4.0,72.0,ENE,2.41,5.47,988.15,0.0,0.0,0.0,0.0,0.01741944516964017
2023/03/06,01:24 AM,8.56,3.89,73.0,NE,1.13,4.51,988.49,0.0,0.0,0.0,0.0,0.09237283446674865
2023/03/06,01:29 AM,8.22,3.83,74.0,ENE,1.29,3.86,988.49,0.0,0.0,0.0,0.0,-0.011052300342897012
2023/03/06,01:34 AM,8.17,3.39,72.0,ENE,2.57,5.79,988.49,0.0,0.0,0.0,0.0,-0.01621173538945485
2023/03/06,01:39 AM,8.39,3.44,71.0,ENE,2.74,5.79,988.49,0.0,0.0,0.0,0.0,0.13776559861063015
2023/03/06,01:44 AM,8.33,3.22,70.0,ENE,1.93,6.76,988.49,0.0,0.0,0.0,0.0,-0.006805689802618656
2023/03/06,01:49 AM,8.33,3.17,69.0,ENE,2.74,5.79,988.49,0.0,0.0,0.0,0.0,-0.005256006699187556
2023/03/06,01:54 AM,8.33,3.17,70.0,ENE,2.41,4.99,988.49,0.0,0.0,0.0,0.0,0.06310587010057764
2023/03/06,01:59 AM,8.06,3.17,71.0,ENE,1.77,4.34,988.49,0.0,0.0,0.0,0.0,-0.057483096165368334
2023/03/06,02:04 AM,7.83,2.78,70.0,ENE,1.93,4.67,988.83,0.0,0.0,0.0,0.0,-0.0008412211949361902
2023/03/06,02:09 AM,7.78,2.72,70.0,ENE,2.09,4.99,988.49,0.0,0.0,0.0,0.0,-0.0138929913680712
2023/03/06,02:14 AM,7.78,2.78,71.0,ENE,2.25,5.31,988.49,0.0,0.0,0.0,0.0,0.021600969722741566
2023/03/06,02:19 AM,7.72,2.72,71.0,East,2.25,4.99,988.49,0.0,0.0,0.0,0.0,-0.03444015976246343
2023/03/06,02:24 AM,7.61,2.61,71.0,East,1.93,4.18,988.49,0.0,0.0,0.0,0.0,0.0009857991423167598
2023/03/06,02:29 AM,7.5,2.28,70.0,ENE,1.29,4.34,988.49,0.0,0.0,0.0,0.0,-0.08434719476568873
2023/03/06,02:34 AM,7.72,2.44,69.0,ENE,1.61,4.51,988.49,0.0,0.0,0.0,0.0,-0.039478428461133995
2023/03/06,02:39 AM,7.61,2.44,70.0,ENE,1.93,4.67,988.49,0.0,0.0,0.0,0.0,0.029064669739200837
2023/03/06,02:44 AM,7.67,2.39,69.0,ENE,0.97,4.34,988.49,0.0,0.0,0.0,0.0,-0.03769700516663022
2023/03/06,02:49 AM,7.83,2.44,69.0,ENE,2.09,5.15,988.15,0.0,0.0,0.0,0.0,0.029498742631275592
2023/03/06,02:54 AM,7.83,2.56,69.0,ENE,2.41,5.47,988.49,0.0,0.0,0.0,0.0,0.022519514215711318
2023/03/06,02:59 AM,7.83,2.83,71.0,ENE,2.9,6.28,988.15,0.0,0.0,0.0,0.0,0.00039850392674824496
2023/03/06,03:04 AM,8.0,3.0,71.0,ENE,2.74,6.11,988.15,0.0,0.0,0.0,0.0,-0.024957403885542687
2023/03/06,03:09 AM,8.0,2.89,70.0,ENE,2.57,6.11,988.15,0.0,0.0,0.0,0.0,0.09134296030226839
2023/03/06,03:14 AM,7.83,2.89,71.0,NE,2.09,4.99,988.15,0.0,0.0,0.0,0.0,-0.044131131678741435
2023/03/06,03:19 AM,7.39,2.83,73.0,ENE,1.45,5.79,988.15,0.0,0.0,0.0,0.0,-0.014929638896689936
2023/03/06,03:24 AM,7.11,2.78,74.0,ENE,1.61,4.67,988.15,0.0,0.0,0.0,0.0,-0.06673131606355351
2023/03/06,03:29 AM,6.94,2.78,75.0,ENE,1.45,4.51,988.15,0.0,0.0,0.0,0.0,-0.05713883001668446
2023/03/06,03:34 AM,6.78,2.72,75.0,ENE,0.97,4.99,988.15,0.0,0.0,0.0,0.0,-0.009860323651245883
2023/03/06,03:39 AM,6.56,2.72,76.0,ENE,1.61,4.51,987.81,0.0,0.0,0.0,0.0,-0.029891885416362927
2023/03/06,03:44 AM,6.5,2.72,77.0,NE,1.29,4.51,988.15,0.0,0.0,0.0,0.0,0.10035802100986506
2023/03/06,03:49 AM,6.39,2.67,77.0,ENE,1.61,4.18,987.81,0.0,0.0,0.0,0.0,0.026887967698306592
2023/03/06,03:54 AM,6.33,2.56,77.0,ENE,1.13,4.18,987.81,0.0,0.0,0.0,0.0,0.06315424945703192
2023/03/06,03:59 AM,6.28,2.44,76.0,NE,1.61,4.02,988.15,0.0,0.0,0.0,0.0,0.0676632415594412
2023/03/06,04:04 AM,6.11,2.5,77.0,NE,0.8,4.18,988.15,0.0,0.0,0.0,0.0,0.0265933635602984
2023/03/06,04:09 AM,5.94,2.44,78.0,ENE,1.45,4.34,988.15,0.0,0.0,0.0,0.0,-0.006918629809272204
2023/03/06,04:14 AM,5.83,2.39,78.0,NE,1.93,4.67,988.15,0.0,0.0,0.0,0.0,-0.07575311662377121
2023/03/06,04:19 AM,5.89,2.28,77.0,East,1.45,4.51,988.15,0.0,0.0,0.0,0.0,0.13961852484422135
2023/03/06,04:24 AM,5.67,2.22,79.0,ENE,1.77,4.34,988.15,0.0,0.0,0.0,0.0,0.12073215885988725
2023/03/06,04:29 AM,5.44,2.17,80.0,East,1.45,4.34,988.15,0.0,0.0,0.0,0.0,-0.05038472271324867
2023/03/06,04:34 AM,5.5,2.11,79.0,East,1.61,4.67,988.15,0.0,0.0,0.0,0.0,0.01320862687018079
2023/03/06,04:39 AM,5.72,2.17,78.0,ENE,1.77,4.99,988.15,0.0,0.0,0.0,0.0,0.009635292457627394
2023/03/06,04:44 AM,6.06,2.22,76.0,ENE,2.09,4.67,988.15,0.0,0.0,0.0,0.0,0.012023659346481638
2023/03/06,04:49 AM,6.11,2.22,76.0,ENE,1.93,4.83,988.15,0.0,0.0,0.0,0.0,0.030579456172990627
2023/03/06,04:54 AM,6.56,2.28,74.0,ENE,3.7,7.88,988.15,0.0,0.0,0.0,0.0,-0.002545978220474537
2023/03/06,04:59 AM,6.94,2.33,73.0,ENE,3.06,6.6,988.15,0.0,0.0,0.0,0.0,0.007489686362327732
2023/03/06,05:04 AM,6.89,2.39,73.0,NE,3.22,6.6,988.15,0.0,0.0,0.0,0.0,-0.010731432078807904
2023/03/06,05:09 AM,7.0,2.44,73.0,ENE,3.54,6.6,988.49,0.0,0.0,0.0,0.0,-0.029971468310135457
2023/03/06,05:14 AM,6.83,2.5,74.0,ENE,1.77,5.31,988.15,0.0,0.0,0.0,0.0,0.04741646236967743
2023/03/06,05:19 AM,6.56,2.44,75.0,ENE,1.93,5.63,988.15,0.0,0.0,0.0,0.0,-0.08637660265027323
2023/03/06,05:24 AM,6.67,2.56,75.0,ENE,3.22,5.95,988.49,0.0,0.0,0.0,0.0,0.007274827107736514
2023/03/06,05:29 AM,6.61,2.39,75.0,ENE,1.45,6.11,988.49,0.0,0.0,0.0,0.0,0.014114162073803645
2023/03/06,05:34 AM,6.67,2.39,74.0,NE,2.57,7.24,988.49,0.0,0.0,0.0,0.0,0.01853972855120055
2023/03/06,05:39 AM,6.72,2.39,74.0,ENE,2.74,6.44,988.83,0.0,0.0,0.0,0.0,0.028383033856348647
2023/03/06,05:44 AM,6.78,2.44,74.0,ENE,3.54,6.44,988.49,0.0,0.0,0.0,0.0,-0.026326573738856444
2023/03/06,05:49 AM,6.89,2.39,73.0,ENE,3.7,6.44,988.49,0.0,0.0,0.0,0.0,0.09349506029082506
2023/03/06,05:54 AM,6.94,2.44,73.0,NE,3.22,7.4,988.49,0.0,0.0,0.0,0.0,-0.018707673411197227
2023/03/06,05:59 AM,6.83,2.39,73.0,ENE,2.74,5.95,988.83,0.0,0.0,0.0,0.0,-0.0007057334307448493
2023/03/06,06:04 AM,6.56,2.28,74.0,ENE,2.74,6.44,988.49,0.0,0.0,0.0,0.0,-0.037881674839248494
2023/03/06,06:09 AM,6.72,2.39,74.0,ENE,3.22,5.95,988.49,0.0,0.0,0.0,0.0,-0.010400821182538373
2023/03/06,06:14 AM,6.72,2.44,74.0,ENE,3.54,6.76,988.49,0.0,0.0,0.0,0.0,0.08318371542560728
2023/03/06,06:19 AM,6.39,2.44,76.0,ENE,1.93,4.83,988.83,0.0,0.0,0.0,0.0,0.0385147828698038
2023/03/06,06:24 AM,6.22,2.56,77.0,ENE,2.74,6.76,988.83,0.0,0.0,0.0,0.0,0.033383942811607406
2023/03/06,06:29 AM,5.94,2.39,78.0,East,2.09,5.47,988.83,0.0,0.0,0.0,0.0,0.14842712579182976
2023/03/06,06:34 AM,5.72,2.28,79.0,ENE,1.93,5.47,988.83,0.0,0.0,0.0,0.0,0.005694658882360515
2023/03/06,06:39 AM,5.89,2.44,79.0,East,2.41,6.11,988.83,0.0,0.0,0.0,0.1,0.1498716969964426
2023/03/06,06:44 AM,5.67,2.28,79.0,ENE,2.25,5.15,988.83,0.0,0.0,0.0,0.3,0.46168394265967216
2023/03/06,06:49 AM,6.22,2.61,78.0,ENE,2.74,6.11,989.16,0.0,0.0,0.0,1.0,1.4787117165895167
