DateTime,Temperature_C,Dew_Point_C,Humidity_%,Wind,Speed_kmh,Gust_kmh,Pressure_hPa,Precip_Rate_mm,Precip_Accum_mm,UV,Solar_w/m2,Power
2023-03-06 00:04:00,8.78,3.67,70,East,0.16,2.9,988.49,0,0,0,0,0.196979281
2023-03-06 00:09:00,8.39,3.61,72,ENE,0.64,3.86,988.49,0,0,0,0,0.012793649
2023-03-06 00:14:00,8.17,3.78,74,ENE,0.48,3.22,988.49,0,0,0,0,-0.067813495
2023-03-06 00:19:00,7.83,3.72,75,ENE,1.29,3.86,988.49,0,0,0,0,-0.006303394
2023-03-06 00:24:00,7.83,3.83,76,ENE,1.45,4.18,988.49,0,0,0,0,-0.034646825
2023-03-06 00:29:00,8.17,3.89,75,East,1.29,3.86,988.49,0,0,0,0,0.006808323
2023-03-06 00:34:00,8.28,3.83,74,NE,1.61,4.18,988.49,0,0,0,0,0.034963331
2023-03-06 00:39:00,8.56,4.06,73,NE,1.45,3.86,988.49,0,0,0,0,-0.068816261
2023-03-06 00:44:00,8.06,3.78,74,ENE,0.97,3.7,988.49,0,0,0,0,0.014997236
2023-03-06 00:49:00,7.89,3.72,75,ENE,1.45,3.86,988.49,0,0,0,0,0.105853957
2023-03-06 00:54:00,8,3.83,75,ENE,1.45,4.02,988.49,0,0,0,0,0.040208433
2023-03-06 00:59:00,8.39,3.89,73,NE,1.29,4.34,988.49,0,0,0,0,-0.009456173
2023-03-06 01:04:00,8.22,3.83,74,East,1.13,3.38,988.15,0,0,0,0,0.022242105
2023-03-06 01:09:00,8.39,4,74,ENE,2.25,4.83,988.15,0,0,0,0,0.123750439
2023-03-06 01:14:00,8.72,4,72,ENE,2.74,5.63,988.15,0,0,0,0,0.002187896
2023-03-06 01:19:00,8.78,4,72,ENE,2.41,5.47,988.15,0,0,0,0,-0.085775067
2023-03-06 01:24:00,8.56,3.89,73,NE,1.13,4.51,988.49,0,0,0,0,-0.061315836
