Date,Time,Temperature_C,Dew_Point_C,Humidity_%,Wind,Speed_kmh,Gust_kmh,Pressure_hPa,Precip_Rate_mm,Precip_Accum_mm,UV,Solar_w/m2
2023/02/10,12:04 AM,12.78,5.67,62.0,ESE,1.13,5.47,986.79,0.0,0.0,0.0,0.0
2023/02/10,12:09 AM,12.67,5.56,62.0,South,0.97,5.15,986.79,0.0,0.0,0.0,0.0
2023/02/10,12:14 AM,12.56,5.44,62.0,East,1.45,4.83,987.13,0.0,0.0,0.0,0.0
2023/02/10,12:19 AM,12.33,5.39,62.0,East,1.29,4.67,987.47,0.0,0.0,0.0,0.0
2023/02/10,12:24 AM,12.33,5.28,62.0,East,1.77,5.15,987.47,0.0,0.0,0.0,0.0
2023/02/10,12:29 AM,12.28,5.22,62.0,East,1.29,6.11,987.47,0.0,0.0,0.0,0.0
2023/02/10,12:34 AM,12.0,5.17,63.0,East,0.64,4.83,987.47,0.0,0.0,0.0,0.0
2023/02/10,12:39 AM,11.78,5.17,64.0,East,0.97,4.18,987.47,0.0,0.0,0.0,0.0
2023/02/10,12:44 AM,11.72,5.11,64.0,East,0.48,3.7,987.47,0.0,0.0,0.0,0.0
2023/02/10,12:49 AM,11.56,4.94,64.0,ENE,0.64,3.86,987.47,0.0,0.0,0.0,0.0
2023/02/10,12:54 AM,11.5,4.94,64.0,East,1.13,4.51,987.47,0.0,0.0,0.0,0.0
2023/02/10,12:59 AM,11.28,5.0,65.0,ESE,0.64,4.67,987.47,0.0,0.0,0.0,0.0
2023/02/10,01:04 AM,11.11,4.89,65.0,ESE,0.64,4.18,987.47,0.0,0.0,0.0,0.0
2023/02/10,01:09 AM,11.06,4.89,66.0,East,0.8,4.34,987.47,0.0,0.0,0.0,0.0
2023/02/10,01:14 AM,11.11,4.83,65.0,East,1.13,4.18,987.47,0.0,0.0,0.0,0.0
2023/02/10,01:19 AM,11.06,4.78,65.0,ESE,0.48,4.34,987.47,0.0,0.0,0.0,0.0
2023/02/10,01:24 AM,10.94,4.78,66.0,East,0.64,3.7,987.47,0.0,0.0,0.0,0.0
2023/02/10,01:29 AM,10.78,4.72,66.0,ESE,0.64,3.22,987.47,0.0,0.0,0.0,0.0
2023/02/10,01:34 AM,10.67,4.61,66.0,ESE,0.48,3.38,987.47,0.0,0.0,0.0,0.0
